cluster,Planck_mass,CNN_mass,err+,err-,redshift
PSZ2G287.56-28.32.fits,14.680845364093065,14.894741,0.06429386,0.05328083,0.3630000054836273
PSZ2G287.72+26.46.fits,14.411388383542105,14.3270855,0.081290245,0.078160286,0.06970000267028809
PSZ2G287.96-32.99.fits,14.791212080323653,14.837426999999998,0.06657314,0.05422306,0.25
PSZ2G288.08-14.81.fits,14.715804238887491,14.752173999999998,0.06507206,0.055724144,0.2899999916553497
PSZ2G288.15-39.04.fits,14.769000715342262,14.857529000000001,0.06573677,0.053448677,0.4799999892711639
PSZ2G288.27+39.97.fits,14.855051531508416,14.861917499999999,0.06529331,0.05389213599999999,0.1992000043392181
PSZ2G288.63-37.66.fits,14.808945067267627,14.909019,0.06407738,0.053497314000000004,0.1270000040531158
PSZ2G289.13+72.19.fits,14.769150922983536,14.746970999999998,0.06470013,0.056095123,0.2290000021457672
PSZ2G289.16+55.27.fits,14.730270345693805,14.875565,0.06444454,0.053129196,0.4099999964237213
PSZ2G290.19+30.16.fits,14.352644032459713,14.294487,0.08412552,0.078546524,0.06849999725818634
PSZ2G291.34-55.31.fits,14.566664576322198,14.594892499999998,0.07851505,0.08254623400000001,0.1805000007152557
PSZ2G292.40-57.11.fits,14.680064655038581,14.757786,0.064240456,0.056554794000000005,0.4900000095367432
PSZ2G292.56+21.97.fits,14.89905417898841,14.920338000000001,0.06412125,0.055064199999999994,0.30000001192092896
PSZ2G292.74+33.49.fits,14.315185791104655,14.288927,0.08339691,0.077664375,0.08156999945640564
PSZ2G293.12-70.85.fits,14.058351819881734,14.316870000000002,0.08234882,0.07871246,0.023800000548362732
PSZ2G293.35+07.33.fits,14.589382173443761,14.684985999999999,0.06875038,0.058487892,0.1550000011920929
PSZ2G294.36-29.53.fits,14.766648817636414,14.816259,0.06795311,0.054452895999999994,0.6200000047683716
PSZ2G294.68-37.01.fits,14.844690240760768,14.911253,0.06470013,0.05448532,0.2741999924182892
PSZ2G294.89-37.19.fits,14.683665642028924,15.087973000000002,0.046535492000000005,0.069428444,0.4699999988079071
PSZ2G295.19-56.99.fits,14.58550595296613,14.724434,0.063100815,0.05608368,0.2169999927282333
PSZ2G295.25-21.55.fits,14.90725647458208,14.890015,0.06439972,0.053174973,0.6100000143051147
PSZ2G295.34+23.34.fits,14.626399652109663,14.705301,0.06490612,0.05588913,0.1190000027418137
PSZ2G295.63-51.96.fits,14.784434252426307,14.796755,0.06777668,0.056241035,0.3330000042915344
PSZ2G296.27-52.05.fits,14.725198008944213,14.745686,0.06341457,0.055770874000000005,0.3264000117778778
PSZ2G296.42-32.49.fits,14.391148757311369,14.443717999999999,0.11256027,0.09842968,0.06129999831318855
PSZ2G296.91-07.00.fits,14.875096107958653,14.959608,0.06473636599999999,0.06089115,0.3100000023841858
PSZ2G297.97-67.74.fits,15.031553459259202,15.005976,0.05956459,0.072505,0.8700000047683716
PSZ2G298.56+13.53.fits,14.944670196678542,14.981676,0.064255714,0.06781387,0.6399999856948853
PSZ2G299.38-57.32.fits,14.639960835346095,14.691260999999999,0.06697273,0.057044983,0.348114013671875
PSZ2G300.98+14.38.fits,14.619554238516088,14.636848,0.08181572,0.0744133,0.1519999951124191
PSZ2G301.11+60.05.fits,14.645150353932278,14.580912,0.07580757,0.08364200599999999,0.1797000020742416
PSZ2G302.41+21.60.fits,14.12212464849273,14.277628,0.083372116,0.07768917,0.01140000019222498
PSZ2G302.49+21.53.fits,14.102270805037627,14.257051,0.08212280000000001,0.07410622,0.01140000019222498
PSZ2G302.85-88.63.fits,14.491923860315616,14.576054000000001,0.07578182,0.08366871,0.1124999970197678
PSZ2G303.03-68.49.fits,14.507072029644153,14.542476999999998,0.074417114,0.08503342,0.1872999966144562
PSZ2G303.54+36.49.fits,14.624154040655078,14.745148,0.06448746,0.05630874599999999,0.2211530059576035
PSZ2G303.56+47.54.fits,14.231072885121572,14.250751500000002,0.082265854,0.07396412,0.046199999749660485
PSZ2G303.75+33.70.fits,14.457805964657213,14.512770000000002,0.08497524,0.09380245,0.0544000007212162
PSZ2G304.44+32.48.fits,14.538178324737304,14.336756,0.08129692,0.07815361,0.05539999902248383
PSZ2G304.65-31.66.fits,14.673006049318204,14.7237,0.06397724,0.055208205999999996,0.1933999955654144
PSZ2G304.84+69.84.fits,14.682862482989162,14.724413,0.06469059,0.05610466,0.3459999859333038
PSZ2G304.84-41.40.fits,14.883412105746979,14.95915,0.06427859999999999,0.061348915,0.4099999964237213
PSZ2G304.91+45.43.fits,14.566875492526595,14.641492999999999,0.0816288,0.07299042,0.047299999743700034
